time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),soil_temperature_7_to_28cm (°C),soil_moisture_7_to_28cm (m³/m³)
1581868800,21.4,31,3.4,922.4,0,0,13.7,93,27.1,0.282
1581872400,20.3,37,5.2,922.6,0,0,14.1,94,26.9,0.282
1581876000,19.2,46,7.4,922.2,0,2,14.1,96,26.7,0.282
1581879600,18.4,56,9.5,921.9,0,3,13,93,26.5,0.282
1581883200,17.5,65,10.7,920.8,0,0,11.9,92,26.3,0.282
1581886800,16.7,71,11.5,920.4,0,0,10.8,90,26,0.282
1581890400,16,77,12,919.8,0,0,10.8,92,25.8,0.282
1581894000,15.4,81,12.1,920.1,0,0,9.7,88,25.5,0.282
1581897600,14.9,83,12,920.4,0,0,9,85,25.2,0.282
1581901200,14.4,83,11.6,921.5,0,0,8.6,88,24.9,0.282
1581904800,14.9,77,11,922.8,0,1,10.8,92,24.7,0.282
1581908400,18.6,50,8.1,923.8,0,1,10.1,96,24.5,0.282
1581912000,22.3,30,3.8,924.3,0,0,10.5,96,24.5,0.282
1581915600,25.3,19,-0.3,924.9,0,0,11.2,90,24.6,0.282
1581919200,27.3,14,-2.4,925,0,0,10.9,81,24.8,0.282
1581922800,28.5,14,-1.3,924,0,0,10.5,74,25.1,0.282
1581926400,29.4,13,-1.6,923.2,0,0,10.6,72,25.5,0.282
1581930000,30,13,-1.7,922.3,0,0,10.7,70,25.9,0.282
1581933600,30,13,-1.5,921.1,0,0,9.2,69,26.2,0.282
1581937200,29.6,13,-1.3,921.2,0,0,9.7,68,26.5,0.282
1581940800,28.4,16,0.2,921.2,0,0,7.2,72,26.7,0.282
1581944400,25.8,20,1.4,921.1,0,0,9.3,77,26.8,0.282
1581948000,23.4,24,1.8,921.1,0,0,8.9,76,26.8,0.282
1581951600,21.8,28,2.7,921.8,0,0,10,77,26.7,0.282
1581955200,20.6,34,4.1,922.3,0,0,11.3,81,26.6,0.282
1581958800,19.6,40,5.6,922.7,0,0,12.3,85,26.4,0.282
1581962400,18.7,47,7.1,922.3,0,0,12.6,85,26.2,0.282
1581966000,17.9,53,8.2,922,0,0,12.2,88,26,0.282
1581969600,17.1,59,9.1,921.3,0,0,11.5,90,25.8,0.282
1581973200,16.4,64,9.6,920.8,0,0,10.8,94,25.5,0.282
1581976800,15.9,68,10,920.2,0,0,10.6,100,25.3,0.282
1581980400,15.4,71,10.1,920.1,0,0,9.6,103,25,0.282
1581984000,15,72,10.1,920.6,0,0,8.6,105,24.7,0.282
1581987600,14.6,74,10,921.1,0,0,7.3,101,24.5,0.282
1581991200,15.1,73,10.3,922.2,0,0,9.8,98,24.2,0.282
1581994800,19.3,51,9,923.3,0,0,9.3,103,24.1,0.282
1581998400,22.4,38,7.4,923.2,0,3,11.2,94,24.1,0.282
1582002000,24.8,30,6.1,923.8,0,5,13.5,81,24.2,0.282
1582005600,26.7,25,4.9,924.3,0,9,14.8,76,24.5,0.282
1582009200,28.3,25,6.5,923.2,0,13,14.8,76,24.8,0.282
1582012800,29.3,23,6.1,922.7,0,20,14.1,77,25.1,0.282
1582016400,29.8,22,5.9,921.6,0,18,13.1,81,25.5,0.282
1582020000,29.8,22,5.7,920.5,0,20,11.9,87,25.9,0.282
1582023600,29.4,22,5.6,920.5,0,20,11.5,90,26.2,0.282
1582027200,28.4,24,6,920.7,0,10,9.1,97,26.4,0.282
1582030800,26,29,6.6,921,0,4,8.5,102,26.5,0.282
1582034400,23.9,33,6.8,921.4,0,6,8.9,104,26.5,0.282
1582038000,22.5,38,7.4,922.1,0,14,10.6,108,26.4,0.282
1582041600,21.3,44,8.5,922.6,0,14,11.8,110,26.3,0.282
1582045200,20.3,51,9.9,922.9,0,17,12.3,111,26.2,0.282
1582048800,19.4,60,11.3,922.4,0,25,12.6,110,26,0.282
1582052400,18.8,68,12.7,922.1,0,20,12.2,109,25.8,0.282
1582056000,18,75,13.5,920.9,0,5,11.3,107,25.6,0.282
1582059600,17.4,81,14,920.4,0,4,10,105,25.4,0.282
1582063200,16.7,86,14.3,919.7,0,4,9.3,106,25.2,0.282
1582066800,16.2,90,14.5,919.9,0,10,8.2,105,25,0.282
1582070400,15.7,93,14.6,920.3,0,11,7.8,103,24.7,0.282
1582074000,15.4,94,14.4,921.1,0,15,7.8,103,24.5,0.282
1582077600,15.9,92,14.6,922.1,0,24,9.6,103,24.3,0.282
1582081200,19.5,71,14.1,923,0,27,9.2,111,24.2,0.282
1582084800,22.7,51,12.2,923,0,29,10.5,112,24.2,0.282
1582088400,25.3,40,10.6,923.6,0,28,10.2,100,24.3,0.282
1582092000,27.2,33,9.8,923.8,0,29,10.5,82,24.6,0.282
1582095600,28.4,30,9.1,922.6,0,28,10.8,75,24.9,0.282
1582099200,29.4,27,8.2,921.7,0,29,10.9,73,25.3,0.282
1582102800,29.9,25,7.5,920.6,0,25,10.5,74,25.7,0.282
1582106400,30,24,7.1,919.8,0,15,9.7,75,26.1,0.282
1582110000,29.7,24,6.8,919.6,0,12,9.5,79,26.4,0.282
1582113600,28.7,25,7,920,0,7,8.6,88,26.6,0.282
1582117200,26.3,30,7.5,920.2,0,1,8.4,97,26.7,0.282
1582120800,24.3,34,7.6,920.7,0,3,10.6,100,26.7,0.282
1582124400,22.9,39,8.2,921.3,0,4,13.3,103,26.6,0.282
1582128000,21.6,46,9.5,921.8,0,1,14.8,104,26.5,0.282
1582131600,20.5,54,10.9,921.9,0,1,15.5,103,26.4,0.282
1582135200,19.3,62,12,921.4,0,2,15.5,102,26.2,0.282
1582138800,18.5,70,12.9,921.1,0,0,14.7,101,26.1,0.282
1582142400,17.7,76,13.4,920.3,0,0,13.6,102,25.9,0.282
1582146000,16.9,81,13.7,919.9,0,0,12.6,103,25.6,0.282
1582149600,16.2,86,13.9,919.2,0,0,11.6,106,25.4,0.282
1582153200,15.5,90,13.9,919.3,0,0,10.4,104,25.1,0.282
1582156800,14.9,93,13.8,919.9,0,4,9.4,97,24.9,0.282
1582160400,14.4,94,13.4,920.7,0,7,9.4,92,24.6,0.282
1582164000,14.9,89,13.1,922,0,11,10.8,90,24.4,0.282
1582167600,18,65,11.3,922.6,0,0,11.2,90,24.2,0.282
1582171200,21.4,43,8.5,923,0,0,11.5,90,24.2,0.282
1582174800,24.6,29,5.5,923.4,0,0,12.2,90,24.3,0.282
1582178400,26.9,22,3.4,923.6,0,0,12.6,85,24.6,0.282
1582182000,28.2,21,4,922.3,0,16,12,83,24.9,0.281
1582185600,29.3,19,3.2,921.6,0,8,11.6,85,25.3,0.281
1582189200,29.9,18,2.7,920.6,0,5,11.5,90,25.7,0.281
1582192800,30,17,2.5,919.8,0,7,10.1,94,26,0.281
1582196400,29.6,18,2.6,919.6,0,0,10.2,98,26.3,0.281
1582200000,28.5,21,3.7,919.9,0,0,8.1,103,26.5,0.281
1582203600,25.9,26,4.9,920.1,0,0,8.7,107,26.6,0.281
1582207200,23.7,31,5.7,920.5,0,0,10,105,26.6,0.281
1582210800,22.3,38,7.2,921.1,0,0,12,106,26.6,0.281
1582214400,21.1,46,9,922.1,0,0,13.6,107,26.4,0.281
1582218000,20.2,54,10.7,922.2,0,0,14.6,110,26.3,0.281
1582221600,19.2,63,12.1,922.3,0,0,15.4,111,26.1,0.281
1582225200,18.4,74,13.7,921.9,0,1,15.6,109,25.9,0.281
1582228800,17.5,84,14.7,921.4,0,5,14.6,106,25.7,0.281
1582232400,16.8,91,15.2,920.5,0,23,13.4,104,25.5,0.281
1582236000,16.4,95,15.5,919.9,0,68,11.7,108,25.3,0.281
1582239600,16.1,97,15.6,920,0,71,10.8,105,25.1,0.281
1582243200,15.9,97,15.4,920.6,0,63,10,103,24.8,0.281
1582246800,15.7,96,15.1,921.7,0,55,9.5,101,24.6,0.281
1582250400,15.9,90,14.2,922.7,0,41,10,105,24.4,0.281
1582254000,17.8,76,13.5,923.4,0,4,10.6,108,24.3,0.281
1582257600,21,54,11.3,923.9,0,0,10.2,113,24.3,0.281
1582261200,24.2,38,8.8,924.5,0,0,9.8,114,24.4,0.281
1582264800,26.7,26,5.7,924.8,0,0,9,106,24.7,0.281
1582268400,28.4,20,3,923.5,0,0,9,95,25,0.281
1582272000,29.5,17,1.6,923.1,0,0,9.7,92,25.4,0.281
1582275600,30,16,1.1,921.9,0,0,10.5,94,25.8,0.281
1582279200,30.1,15,1,921.2,0,0,9.5,99,26.2,0.281
1582282800,29.7,16,1.1,921.3,0,0,10.3,102,26.5,0.281
1582286400,28.7,18,2.3,921.7,0,0,8.7,107,26.7,0.281
1582290000,26.2,24,3.8,921.8,0,0,8.8,109,26.8,0.281
1582293600,24.1,30,5.4,922.6,0,0,9.9,109,26.8,0.281
1582297200,22.9,39,8,923.2,0,0,12.5,108,26.7,0.281
1582300800,21.9,48,10.5,924.1,0,0,13.6,107,26.6,0.281
1582304400,21.1,56,12.1,924.3,0,0,14.6,106,26.5,0.281
1582308000,20.1,64,13.1,924,0,0,14.2,106,26.3,0.281
1582311600,19.2,75,14.6,923.9,0,0,13.7,104,26.1,0.281
1582315200,18.1,84,15.4,923,0,0,12.8,100,26,0.281
1582318800,17.3,92,15.9,922.3,0,9,11.9,95,25.7,0.281
1582322400,17,95,16.3,921.6,0,46,12.3,93,25.5,0.281
1582326000,16.9,97,16.4,921.5,0,68,11.9,95,25.3,0.281
1582329600,16.8,97,16.4,922.6,0,77,11.9,95,25.1,0.281
1582333200,16.7,97,16.3,923,0,87,10.1,92,24.9,0.281
1582336800,17.2,94,16.1,924.2,0,83,10.8,94,24.7,0.281
1582340400,18.7,81,15.3,924.8,0,30,12,99,24.6,0.281
1582344000,21.6,65,14.8,925.2,0,1,11,101,24.6,0.281
1582347600,24.5,51,13.6,925.5,0,0,11.3,99,24.7,0.281
1582351200,26.7,39,11.6,925.6,0,0,10.8,92,24.9,0.281
1582354800,28.3,30,9.2,924.5,0,0,10.8,88,25.3,0.281
1582358400,29.4,27,8.3,923.8,0,0,10.8,86,25.6,0.281
1582362000,29.9,25,8,922.6,0,0,11.5,90,26,0.281
1582365600,29.9,26,8.1,921.8,0,0,10.4,92,26.4,0.281
1582369200,29.4,27,8.4,921.5,0,0,11.2,90,26.7,0.281
1582372800,28.4,30,8.9,921.8,0,0,10.8,92,26.9,0.281
1582376400,26.3,36,9.8,922.2,0,0,8.4,100,27,0.281
1582380000,24.5,41,10.6,922.8,0,0,11,101,27,0.281
1582383600,23.3,47,11.4,923.2,0,0,12.6,103,26.9,0.281
1582387200,22.2,55,12.8,924.1,0,0,14.6,106,26.9,0.281
1582390800,21,67,14.8,923.9,0,9,15.5,108,26.7,0.281
1582394400,20.1,79,16.4,924.1,0,20,15.7,106,26.6,0.281
1582398000,19.5,84,16.8,923.8,0,47,15.2,104,26.4,0.281
1582401600,19.2,88,17.2,923,0,50,15,101,26.2,0.281
1582405200,18.9,90,17.3,922.6,0,74,14.3,100,26,0.281
1582408800,18.5,92,17.2,921.5,0,100,12.8,106,25.9,0.281
1582412400,18,94,17.1,921.3,0,100,11.7,108,25.7,0.281
1582416000,17.8,95,16.9,922,0,100,10.7,110,25.5,0.281
1582419600,17.6,95,16.8,922.4,0,89,10.2,108,25.3,0.281
1582423200,17.8,93,16.6,923.4,0,95,10.5,106,25.1,0.281
1582426800,19,82,15.9,924.1,0,43,12.2,104,25,0.281
1582430400,21.4,65,14.5,924.8,0,27,12.1,100,25,0.281
1582434000,24.4,47,12.4,924.9,0,27,11.5,94,25.1,0.281
1582437600,26.7,34,9.6,925.3,0,26,11.2,90,25.3,0.281
1582441200,28.2,28,8.2,923.6,0,28,10.8,94,25.6,0.281
1582444800,29.2,26,7.8,923.2,0,27,10.9,98,26,0.281
1582448400,29.7,26,8,921.7,0,29,11,101,26.3,0.281
1582452000,29.7,27,8.5,921.1,0,28,10.7,104,26.7,0.281
1582455600,29.3,28,9.1,921.1,0,29,10.9,99,27,0.281
1582459200,28.4,31,9.7,921.1,0,28,10.5,98,27.2,0.281
1582462800,26.4,37,10.4,921.3,0,32,7.5,107,27.2,0.281
1582466400,24.8,41,10.8,921.6,0,35,9.3,106,27.2,0.281
1582470000,23.7,47,11.7,922.2,0,35,12.6,110,27.2,0.281
1582473600,22.5,57,13.6,922.9,0,30,15,114,27.1,0.281
1582477200,21.3,69,15.4,922.8,0,30,15.8,117,27,0.281
1582480800,20.4,78,16.4,922.6,0,35,15.6,116,26.8,0.281
1582484400,19.6,85,16.9,921.9,0,59,15.1,115,26.6,0.281
1582488000,19.2,88,17.1,921.3,0,98,14.7,112,26.5,0.281
1582491600,18.9,90,17.1,920.5,0,100,12.9,108,26.3,0.281
1582495200,18.8,90,17.1,919.8,0,100,11.5,110,26.1,0.281
1582498800,18.6,90,16.9,919.6,0,100,10.4,110,25.9,0.281
1582502400,18,92,16.7,919.9,0,97,10,111,25.7,0.281
1582506000,18,91,16.4,920.4,0,78,9.4,113,25.5,0.281
1582509600,17.9,88,16,921.5,0,56,10,116,25.3,0.281
1582513200,19.7,76,15.3,922,0,29,10.8,116,25.2,0.281
1582516800,22.4,59,14.1,922.4,0,29,10.8,116,25.2,0.281
1582520400,25,43,11.7,923.1,0,29,10.6,114,25.3,0.281
1582524000,27,34,9.6,922.9,0,29,9.8,107,25.6,0.281
1582527600,28.3,30,9.1,921.4,0,29,9.8,107,25.9,0.281
1582531200,29.4,27,8.4,921.1,0,30,10.1,107,26.2,0.281
1582534800,29.9,26,8,919.7,0,30,9.9,109,26.6,0.281
1582538400,30,25,7.8,919.2,0,29,8.1,111,26.9,0.281
1582542000,29.7,25,7.8,918.9,0,26,8,108,27.2,0.281
1582545600,28.9,27,8.1,919.1,0,29,7.6,109,27.4,0.281
1582549200,26.7,33,9.1,919.1,0,29,7.7,118,27.5,0.281
1582552800,24.8,39,9.7,919.2,0,26,8.7,114,27.5,0.281
1582556400,23.5,45,10.9,919.8,0,17,10.3,115,27.5,0.281
1582560000,22.5,52,12.1,920.6,0,9,11.6,116,27.3,0.281
1582563600,21.6,58,13,920.5,0,4,12.2,118,27.2,0.281
1582567200,20.7,64,13.6,920.3,0,0,12.3,122,27,0.281
1582570800,20,71,14.5,919.8,0,0,12.2,124,26.8,0.281
1582574400,19.2,78,15.3,919.2,0,0,12.4,126,26.6,0.281
1582578000,18.5,86,16.2,918.8,0,23,12.1,127,26.4,0.281
1582581600,18.2,92,16.8,918.2,0,39,11.6,126,26.2,0.281
1582585200,18,94,17,918.2,0,49,11.1,126,26,0.281
1582588800,18,94,17,918.9,0,53,10.5,128,25.8,0.281
1582592400,17.8,95,17,919.8,0,55,9.7,129,25.6,0.281
1582596000,18.2,92,16.9,920.7,0,69,10.5,131,25.4,0.281
1582599600,20,80,16.5,921,0,26,10.2,141,25.3,0.281
1582603200,22.8,65,15.9,921.3,0,26,9.3,152,25.3,0.281
1582606800,25.5,52,14.8,921.7,0,21,8,162,25.4,0.281
1582610400,27.4,43,13.6,921.6,0,23,5.7,162,25.7,0.281
1582614000,28.9,36,12.3,920.2,0,28,3.9,146,26,0.281
1582617600,30,31,11.1,919.8,0,25,3.2,117,26.4,0.281
1582621200,30.7,28,9.8,918.8,0,34,4.3,90,26.9,0.28
1582624800,30.8,26,9.1,917.9,0,33,5.4,70,27.2,0.28
1582628400,30.6,25,8.6,917.9,0,33,5,69,27.6,0.28
1582632000,30,26,8.3,918.1,0,32,4.7,86,27.8,0.28
1582635600,28.5,30,9.2,918.8,0,29,6.9,118,27.9,0.28
1582639200,26.6,33,9.2,918.3,0,41,6.8,122,27.9,0.28
1582642800,24.9,36,9,918.7,0,45,8.7,120,27.9,0.28
1582646400,23.8,41,9.6,919.3,0,23,11.8,117,27.8,0.28
1582650000,22.8,50,11.8,919.8,0,3,13.7,113,27.7,0.28
1582653600,21.8,61,14.1,920,0,0,13.8,110,27.5,0.28
1582657200,21,72,15.8,919.8,0,0,12.5,108,27.3,0.28
1582660800,20.2,80,16.5,919,0,0,12.3,111,27.2,0.28
1582664400,19.5,85,16.9,918.5,0,0,12.2,114,26.9,0.28
1582668000,18.9,90,17.1,918,0,3,10,116,26.7,0.28
1582671600,18.4,93,17.2,918.2,0,8,8.5,118,26.5,0.28
1582675200,18.2,94,17.3,918.7,0,31,8.1,122,26.3,0.28
1582678800,18,96,17.3,919.6,0,41,8.1,122,26.1,0.28
1582682400,18.5,93,17.3,920.5,0,56,9.2,121,25.9,0.28
1582686000,20.5,80,16.9,921,0,15,9.4,122,25.8,0.28
1582689600,23.5,64,16.2,921.3,0,12,9.5,127,25.8,0.28
1582693200,26.2,51,15.1,922,0,5,9.7,121,25.9,0.28
1582696800,28.2,41,13.8,921.7,0,4,9.9,109,26.2,0.28
1582700400,29.5,38,13.6,920.7,0,44,10.5,96,26.5,0.28
1582704000,30,35,13,920.1,0,34,10.1,94,26.8,0.28
1582707600,30.3,34,12.5,919.1,0,33,8.6,92,27.2,0.28
1582711200,30.2,33,12.1,918.4,0,37,6.5,90,27.5,0.28
1582714800,29.8,33,11.7,918.4,0,32,6.5,84,27.7,0.28
1582718400,29.2,34,11.6,918.8,0,41,5.4,86,27.8,0.28
1582722000,27.9,37,12,919,0,38,5.6,105,27.9,0.28
1582725600,26.5,41,12.2,919.2,0,37,7.9,106,27.9,0.28
1582729200,25.6,45,12.8,919.7,0,34,8.5,102,27.9,0.28
1582732800,24.7,50,13.6,920.5,0,21,10.3,102,27.8,0.28
1582736400,23.8,56,14.4,920.7,0,15,12.2,104,27.7,0.28
1582740000,22.8,62,15.2,920.8,0,17,13.8,105,27.6,0.28
1582743600,21.8,68,15.5,920.5,0,28,13.8,105,27.5,0.28
1582747200,21,74,16.2,919.8,0,26,12.4,107,27.3,0.28
1582750800,20.2,80,16.6,919.1,0,37,11.7,108,27.1,0.28
1582754400,19.6,84,16.8,919,0,49,12,111,26.9,0.28
1582758000,19.3,87,17,919.1,0,53,11.1,115,26.7,0.28
1582761600,19,89,17.1,919.6,0,54,10,116,26.5,0.28
1582765200,18.7,90,17.1,920.3,0,63,8.4,115,26.3,0.28
1582768800,19.2,88,17.2,921,0,77,7.8,112,26.1,0.28
1582772400,21.2,75,16.6,921.9,0,67,7.8,112,26,0.28
1582776000,23.2,60,15.1,922.1,0,75,7.9,114,26,0.28
1582779600,25.6,45,12.8,923.1,0,66,8.9,111,26.1,0.28
1582783200,27.3,38,11.8,922.5,0,39,10,103,26.3,0.28
1582786800,28.7,36,12.3,921.3,0,50,10.1,84,26.6,0.28
1582790400,29.4,34,11.8,920.5,0,40,9.7,75,26.9,0.28
1582794000,30.1,31,11.2,919.9,0,45,8.8,71,27.2,0.28
1582797600,30.2,30,10.7,918.7,0,39,9.2,64,27.5,0.28
1582801200,30,29,10.2,918.5,0,38,9,61,27.7,0.28
1582804800,29.4,30,9.8,918.6,0,43,8.4,65,27.9,0.28
1582808400,27.9,33,10.1,918.9,0,47,6.3,66,28,0.28
1582812000,26.1,37,10.2,919,0,60,7.9,74,28,0.28
1582815600,24.7,41,10.5,919.4,0,75,9,88,27.9,0.28
1582819200,23.9,46,11.5,920.4,0,54,13.4,98,27.9,0.28
1582822800,22.7,56,13.4,920.7,0,44,17.7,107,27.7,0.28
1582826400,21.4,69,15.4,920.3,0,30,17.5,109,27.6,0.28
1582830000,20.6,79,16.8,920.2,0,38,15,111,27.4,0.28
1582833600,19.8,86,17.4,919.2,0,44,14.2,114,27.2,0.28
1582837200,19.2,90,17.6,918.9,0,59,13.4,117,27,0.28
1582840800,18.9,92,17.6,918.4,0,99,12.6,121,26.8,0.28
1582844400,18.6,92,17.3,918.5,0,78,11,122,26.6,0.28
1582848000,18.2,92,17,919.2,0,80,11,122,26.4,0.28
1582851600,17.9,92,16.6,919.6,0,79,10.3,119,26.2,0.28
1582855200,18.2,86,15.9,920.4,0,63,11.3,117,26,0.28
1582858800,20.1,71,14.8,921.2,0,31,12.7,119,25.8,0.28
1582862400,22.6,58,13.8,921.3,0,28,12.7,119,25.8,0.28
1582866000,25.1,47,13.1,921.7,0,29,13,114,25.9,0.28
1582869600,27.1,41,12.5,921.9,0,27,12.4,107,26.2,0.28
1582873200,28.4,38,12.7,920.5,0,37,10.8,92,26.5,0.28
1582876800,29.1,34,11.8,919.8,0,50,10.7,76,26.8,0.28
1582880400,29.6,32,11.3,918.3,0,49,10.7,70,27.1,0.28
1582884000,29.8,31,10.8,917.7,0,51,8.7,66,27.4,0.28
1582887600,29.6,30,10.4,917.2,0,58,8.4,65,27.6,0.28
1582891200,29.1,31,10.1,917.5,0,52,7.6,71,27.8,0.28
1582894800,27.4,35,10.5,917.5,0,50,7.2,90,27.9,0.28
1582898400,25.9,39,11,917.7,0,67,9.4,92,27.9,0.28
1582902000,24.7,47,12.8,918.5,0,60,12.7,98,27.8,0.28
1582905600,23.5,59,15,919.2,0,56,17.6,105,27.8,0.28
1582909200,22.4,68,16.1,919.7,0,47,18.2,108,27.6,0.28
1582912800,21.4,74,16.5,919.8,0,48,16.7,109,27.5,0.28
1582916400,20.4,81,17,919.5,0,51,16,113,27.3,0.28
1582920000,19.7,85,17.1,918.9,0,65,14.8,116,27.2,0.28
1582923600,19.3,87,17.2,918.4,0,84,13.7,120,27,0.28
1582927200,19,89,17.2,918.4,0,100,12.8,130,26.8,0.28
1582930800,18.9,88,17,918.4,0,100,13.5,136,26.6,0.28
1582934400,18.6,88,16.7,919,0,100,13.2,137,26.4,0.28
1582938000,18.3,88,16.4,919.5,0,63,12,134,26.2,0.28
1582941600,18.4,85,15.8,920.5,0,36,11.5,129,26,0.28
1582945200,20,72,14.8,921,0,26,11.5,129,25.9,0.28
1582948800,22.9,55,13.5,921.2,0,2,11.2,123,25.9,0.28
1582952400,25.6,44,12.5,921.5,0,1,10.2,113,26,0.28
1582956000,27.6,37,11.7,920.9,0,0,8.6,90,26.3,0.28
1582959600,29,34,11.4,920,0,9,7.9,66,26.6,0.28
1582963200,29.9,31,10.9,919.1,0,10,7.8,56,27,0.28
1582966800,30.3,30,10.6,918.2,0,3,7.2,53,27.4,0.28
1582970400,30.5,28,10.1,917.2,0,12,6.4,47,27.7,0.28
1582974000,30.2,28,9.7,917.1,0,28,5.4,42,28,0.28
1582977600,29.7,28,9.3,917.4,0,33,5.1,39,28.2,0.28
1582981200,28.4,31,9.9,917.8,0,32,5.9,47,28.3,0.28
1582984800,26.7,35,10.1,918,0,38,5.8,68,28.3,0.28
1582988400,25.5,40,10.9,918.3,0,59,9.4,97,28.3,0.28
1582992000,23.9,53,13.7,919.5,0,47,15.4,111,28.2,0.28
1582995600,22.5,66,15.7,920,0,33,19.4,112,28.1,0.28
1582999200,21.3,74,16.5,920.2,0,46,19.6,107,27.9,0.28
1583002800,20.3,82,17.2,920.1,0,37,18,106,27.8,0.28
1583006400,19.7,86,17.3,919.5,0,40,15,114,27.6,0.28
1583010000,19.3,88,17.3,919.1,0,44,13.7,125,27.4,0.28
1583013600,19,90,17.2,919,0,49,12.7,135,27.1,0.28
1583017200,18.8,90,17.1,918.6,0,36,11.5,129,26.9,0.28
1583020800,18.5,91,17,918.9,0,41,11.4,125,26.7,0.28
1583024400,18.4,91,16.9,919.2,0,50,9.9,123,26.5,0.28
1583028000,18.8,88,16.8,920.5,0,53,11.3,127,26.3,0.28
1583031600,20.2,78,16.3,921,0,36,11.5,129,26.2,0.28
1583035200,22.6,65,15.8,921.4,0,14,10.3,126,26.2,0.28
1583038800,24.8,56,15.4,921.9,0,22,9.3,118,26.3,0.28
1583042400,26.5,48,14.6,921.1,0,21,8.8,102,26.4,0.28
1583046000,28.2,39,12.9,919.9,0,25,9,88,26.7,0.28
1583049600,29.6,34,12.2,919.4,0,29,9.1,81,27,0.28
1583053200,30.1,32,11.6,918.5,0,35,8.7,83,27.4,0.28
1583056800,30.4,30,11,917.5,0,35,7.2,72,27.7,0.28
1583060400,30.2,29,10.5,917.4,0,47,7,69,28,0.28
1583064000,29.5,30,10.2,917.7,0,41,7.1,75,28.2,0.28
1583067600,27.9,35,10.8,917.9,0,34,6.1,90,28.3,0.28
1583071200,26.3,38,10.9,918.2,0,33,8.5,102,28.3,0.28
1583074800,25.1,42,11.2,918.7,0,53,10.1,107,28.2,0.28
1583078400,24.1,46,11.8,919.9,0,26,13,114,28.1,0.28
1583082000,23.3,53,13.1,920.5,0,11,14.8,119,28,0.28
1583085600,21.9,63,14.6,920.7,0,9,15.1,118,27.9,0.28
1583089200,20.8,74,16.1,920.5,0,8,14.7,115,27.7,0.28
1583092800,20,82,16.8,919.8,0,8,14.2,114,27.5,0.28
1583096400,19.3,86,16.9,919.3,0,5,12.6,121,27.3,0.28
1583100000,18.9,88,16.9,918.7,0,22,11.2,130,27.1,0.28
1583103600,18.6,89,16.8,918.5,0,21,11.6,126,26.9,0.28
1583107200,18.2,90,16.6,918.8,0,26,9.2,132,26.7,0.28
1583110800,18.1,90,16.4,920,0,32,8.4,137,26.4,0.28
1583114400,18.7,84,16,920.9,0,39,8.4,137,26.2,0.28
1583118000,20.8,69,14.9,921.7,0,47,7.6,149,26.1,0.28
1583121600,23.5,57,14.5,922.3,0,60,7.2,174,26.1,0.28
1583125200,25.1,53,14.7,922.5,0,74,7.7,191,26.2,0.28
1583128800,26.8,48,14.8,922.4,0,83,7,192,26.4,0.28
1583132400,26.7,52,16.1,921.7,0,87,6.2,187,26.6,0.28
1583136000,27.1,51,16.1,921.1,0,62,5.4,184,26.9,0.28
1583139600,27.5,50,16.1,919.9,0,42,4.3,180,27.1,0.28
1583143200,27.4,49,15.9,918.8,0,32,1.6,153,27.4,0.28
1583146800,27.4,49,15.6,918.4,0,39,2.2,90,27.6,0.28
1583150400,26.8,49,15.4,918.8,0,38,3.2,63,27.7,0.28
1583154000,25.9,53,15.6,919.1,0,28,4.9,73,27.8,0.28
1583157600,25.2,56,15.7,919.3,0,26,4.8,103,27.8,0.28
1583161200,24.3,61,16.4,919.9,0,40,3.7,151,27.7,0.28
1583164800,23.6,63,16.2,920.5,0,61,3.8,197,27.6,0.28
1583168400,23.2,65,16.2,920.8,0,51,6.5,186,27.5,0.28
1583172000,22.6,68,16.4,920.4,0,61,6.5,174,27.4,0.28
1583175600,21.9,73,16.9,920,0,39,5.7,162,27.3,0.28
1583179200,21.3,77,17,919.3,0,33,4.7,157,27.1,0.28
1583182800,20.5,80,17,918.7,0,27,5,150,26.9,0.28
1583186400,20.1,81,16.8,918.2,0,20,5.7,125,26.7,0.28
1583190000,19.8,81,16.5,918.4,0,27,5.6,117,26.5,0.28
1583193600,19.4,81,16.2,919.2,0,40,6.6,119,26.3,0.28
1583197200,19.1,83,16.1,920,0,41,6.8,122,26.2,0.28
1583200800,19.8,81,16.3,921.2,0,38,7.9,133,26,0.28
1583204400,21.8,72,16.4,921.7,0,34,8.4,149,25.9,0.28
1583208000,24.3,61,16.3,922,0,35,8.4,170,25.9,0.28
1583211600,26.3,54,16.1,922.3,0,59,5.8,180,26.1,0.28
1583215200,27.8,48,15.7,922.2,0,56,3,166,26.4,0.28
1583218800,28.3,44,15,921.1,0,44,1.8,143,26.7,0.28
1583222400,28.9,42,14.6,920.5,0,37,1,135,27,0.28
1583226000,29.6,40,14.5,919.6,0,37,1.1,198,27.4,0.28
1583229600,29.7,39,14.2,918.6,0,19,1.1,288,27.7,0.28
1583233200,29.3,38,13.7,918.3,0,15,1.5,315,28,0.28
1583236800,28.9,39,13.5,918.7,0,11,1,315,28.2,0.28
1583240400,28.1,41,13.7,918.9,0,12,1.5,256,28.3,0.28
1583244000,26.9,45,14.1,918.9,0,10,2.8,230,28.3,0.28
1583247600,25.8,49,14.3,919.2,0,8,3.1,201,28.3,0.28
1583251200,25.2,51,14.3,919.5,0,14,3.8,197,28.2,0.28
